iter	Passed	Remaining
0	9	2938
1	17	2681
2	27	2679
3	34	2574
4	44	2600
5	52	2569
6	60	2535
7	67	2454
8	74	2394
9	79	2313
10	85	2239
11	90	2180
12	96	2123
13	101	2064
14	106	2020
15	110	1964
16	114	1900
17	118	1850
18	121	1799
19	125	1753
20	129	1719
21	132	1679
22	137	1656
23	141	1624
24	144	1590
25	147	1555
26	152	1537
27	155	1509
28	158	1482
29	161	1454
30	164	1429
31	169	1416
32	172	1393
33	175	1371
34	178	1350
35	181	1330
36	185	1319
37	188	1301
38	191	1283
39	194	1266
40	197	1250
41	201	1240
42	204	1225
43	208	1210
44	211	1196
45	214	1182
46	218	1176
47	221	1163
48	224	1151
49	227	1139
50	230	1126
51	235	1122
52	238	1111
53	241	1100
54	244	1089
55	247	1078
56	251	1073
57	255	1065
58	258	1055
59	261	1045
60	265	1040
61	268	1032
62	272	1024
63	275	1015
64	278	1006
65	282	1001
66	285	994
67	288	985
68	292	977
69	295	969
70	299	965
71	302	957
72	305	950
73	308	942
74	311	935
75	316	932
76	319	925
77	322	918
78	325	911
79	328	903
80	332	899
81	335	892
82	338	885
83	341	878
84	344	872
85	349	869
86	352	864
87	356	857
88	359	851
89	362	846
90	366	841
91	369	835
92	372	828
93	375	822
94	378	816
95	382	812
96	385	806
97	388	800
98	391	794
99	394	789
100	398	785
101	401	779
102	404	773
103	407	767
104	410	762
105	414	759
106	417	753
107	420	748
108	423	742
109	427	737
110	430	733
111	433	728
112	437	723
113	440	718
114	443	712
115	447	709
116	450	704
117	453	699
118	456	694
119	459	689
120	464	686
121	467	682
122	470	677
123	473	672
124	477	668
125	480	664
126	484	659
127	487	654
128	490	649
129	494	646
130	497	641
131	500	637
132	503	632
133	506	627
134	511	624
135	514	620
136	517	615
137	520	610
138	523	606
139	527	603
140	530	598
141	533	593
142	536	589
143	539	584
144	544	581
145	547	577
146	550	572
147	553	567
148	556	563
149	560	560
150	564	557
151	567	552
152	570	548
153	573	543
154	577	540
155	581	536
156	584	532
157	587	527
158	590	523
159	594	520
160	597	516
161	600	511
162	604	507
163	608	504
164	611	500
165	615	496
166	617	492
167	620	487
168	624	484
169	628	480
170	631	476
171	634	472
172	637	467
173	641	464
174	644	460
175	647	456
176	651	452
177	653	448
178	659	445
179	662	441
180	665	437
181	668	433
182	672	429
183	675	426
184	679	422
185	682	418
186	685	414
187	688	410
188	692	406
189	695	402
190	698	398
191	701	394
192	705	391
193	708	387
194	712	383
195	715	379
196	717	375
197	721	371
198	724	367
199	727	363
200	730	359
201	733	356
202	737	352
203	740	348
204	743	344
205	746	340
206	749	336
207	753	333
208	757	329
209	760	325
210	763	321
211	766	318
212	769	314
213	773	310
214	777	307
215	780	303
216	783	299
217	787	296
218	790	292
219	793	288
220	796	284
221	799	280
222	803	277
223	807	273
224	810	270
225	813	266
226	816	262
227	820	259
228	823	255
229	826	251
230	829	247
231	832	244
232	837	240
233	840	236
234	843	233
235	846	229
236	849	225
237	853	222
238	857	218
239	860	215
240	863	211
241	866	207
242	870	204
243	874	200
244	877	196
245	880	193
246	884	189
247	887	186
248	890	182
249	894	178
250	897	175
251	901	171
252	904	168
253	907	164
254	910	160
255	913	157
256	917	153
257	921	149
258	924	146
259	926	142
260	929	138
261	934	135
262	937	131
263	940	128
264	943	124
265	946	120
266	951	117
267	954	113
268	957	110
269	960	106
270	963	103
271	968	99
272	971	96
273	975	92
274	978	88
275	982	85
276	985	81
277	988	78
278	991	74
279	994	71
280	998	67
281	1002	63
282	1005	60
283	1008	56
284	1011	53
285	1015	49
286	1018	46
287	1021	42
288	1024	38
289	1027	35
290	1031	31
291	1034	28
292	1037	24
293	1040	21
294	1043	17
295	1047	14
296	1051	10
297	1054	7
298	1057	3
299	1060	0
